mod;cod;marca;clase;tipo1;tipo2;tipo3;peso;serv;valor02;valor03;valor04;valor05;valor06;valor07;valor08;valor09;valor10;valor11;valor12;valor13;valor14;valor15;valor16;valor17;valor18;valor19;um;importado;bcpp;pesokg;potencia
F;03611092;INTERNATIONAL ;CHASIS          ;7600           ;WORKSTAR [305HP;MT TD 6X4      ;0;2;       0;       0;       0;       0;       0;       0;       0;  104900;  112500;  120700;  129500;  138900;  149000;  159900;       0;       0;       0;  207000;F;T;  258800;    0;  1
F;03611093;INTERNATIONAL ;CHASIS          ;7600           ;WORKSTAR [305HP;MT TD 6X4      ;0;2;       0;       0;       0;       0;       0;       0;       0;  116000;  124500;  133600;  143300;  153800;  165000;  177000;       0;       0;       0;  238000;F;T;  297500;    0;  1
F;03611094;INTERNATIONAL ;CHASIS          ;7400           ;WORKSTAR       ;MT 8600CC TD 6X;0;1;       0;       0;       0;       0;       0;       0;       0;       0;  121500;  130400;  139900;  150100;  161000;  172800;       0;       0;       0;  186000;F;T;  232500; 7420;275
F;03611095;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT 7600CC TD 4X;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  103700;  108000;  112500;  117200;       0;       0;       0;  169000;F;T;  211300; 5121;215
F;03611096;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT 7600CC TD 4X;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   96600;  100600;  104800;  109200;       0;       0;       0;  147500;F;T;  184400; 5121;195
F;03611097;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR LITE [;MT 7600CC TD 4X;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   85700;   89300;   93000;   96900;       0;       0;       0;  130000;F;T;  162500; 5121;195
F;03611098;INTERNATIONAL ;CHASIS          ;3000           ;FE [BUS]       ;MT 7200CC TD   ;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  108500;       0;       0;       0;  145000;F;T;  181300;    0;222
F;03611099;INTERNATIONAL ;CHASIS          ;MIDIBUS        ;3100 [4500mm][1;MT 4800CC TD   ;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   92600;       0;       0;       0;  100000;F;T;  125000;    0;148
F;03611100;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT 7600CC TD 4X;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   98900;  103000;  107300;  111800;       0;       0;       0;  150500;F;T;  188100; 5121;195
F;03611101;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT 7600CC TD 4X;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;  101200;  105400;  109800;  114400;  119200;       0;       0;       0;  176000;F;T;  220000; 5121;215
F;03611102;INTERNATIONAL ;CHASIS          ;MIDIBUS        ;3100 [4800mm][1;MT 4800CC TD   ;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  107200;       0;       0;       0;  125000;F;T;  156300; 3100;182
F;03611103;INTERNATIONAL ;CHASIS          ;7600           ;WORKSTAR [335HP;MT TD 6X4 [FULL;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  218000;       0;       0;       0;  354400;F;T;  443000;    0;335
F;03611104;INTERNATIONAL ;CHASIS          ;7600           ;WORKSTAR [336HP;MT TD 6X4 [FULL;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  252700;  271100;  290900;  360000;T;T;  450000; 8100;336
F;03611105;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT TD 4X2 [STD];0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  160800;  167500;       0;  222000;F;T;  277500; 5223;222
F;03611106;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT TD 4X2 [FULL;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  166000;  172900;       0;  228000;F;T;  285000; 5223;222
F;03611107;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT TD 4X2 [SUPE;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  163500;  170300;       0;  237000;F;T;  296300; 5223;222
F;03611108;INTERNATIONAL ;CHASIS          ;7600           ;WORKSTAR [404HP;MT TD 6X4 [STD];0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  307600;       0;  395300;F;T;  494100; 8454;404
F;03611109;INTERNATIONAL ;CHASIS          ;7600           ;WORKSTAR [336HP;MT TD 6X4 [STD];0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  310400;  333100;  398600;T;T;  498300; 8443;336
F;03611110;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT TD 4X2 [STD];0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  179800;  222000;T;T;  277500; 5223;222
F;03611111;INTERNATIONAL ;CHASIS          ;MIDIBUS        ;3100 [4800mm][1;MT 4800CC TD   ;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   92600;       0;       0;       0;       0;  130000;F;T;  162500;    0;165
F;03611112;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT TD 4X2 [FULL;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  185500;  228000;T;T;  285000; 5223;222
F;03611113;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT TD 4X2 [SUPE;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  172800;  192000;  237000;T;T;  296300; 5223;222
F;03611114;INTERNATIONAL ;CHASIS          ;3300           ;FBC [BUS]      ;MT 7600CC TD 4X;0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   88500;       0;       0;       0;       0;       0;  137000;F;T;  171300;    0;215
F;03611115;INTERNATIONAL ;CHASIS          ;7600           ;WORKSTAR [336HP;MT TD 6X4 [STD];0;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  284700;  350000;T;T;  437500; 8100;336
F;03611116;INTERNATIONAL ;CHASIS          ;4300           ;DURASTAR [6000m;MT TD 4X2 [STD];1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  212900;  249000;T;T;  311250;    0;222
F;03604005;INTERNATIONAL ;CAMION          ;S-SERIES       ;S1754          ;MT 5900CC TD 4X;0;2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  163000;F;T;  203800; 5121;180
F;03604010;INTERNATIONAL ;CAMION          ;4900           ;236            ;MT 7600CC TD 6X;0;2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  151900;F;T;  189900;    0;  1
F;03604011;INTERNATIONAL ;CAMION          ;4700           ;236            ;MT 7600CC 4X2 [;0;2;   50700;   53900;   57300;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  108500;F;T;  135600;    0;190
F;03604013;INTERNATIONAL ;CAMION          ;2674           ;2674           ;MT 8700CC TD 6X;0;1;   82500;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  178900;F;T;  223600;    0;300
F;03604016;INTERNATIONAL ;CAMION          ;4800           ;4800           ;MT 7600CC TD 4X;0;1;   54800;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  117200;F;T;  146500;    0;  1
F;03604017;INTERNATIONAL ;CAMION          ;4300           ;SBA            ;MT 7600CC TD 4X;0;2;   77300;   80500;   83900;   87400;   91000;   94800;   98700;  102800;  107100;  111600;       0;       0;       0;       0;       0;       0;       0;  178600;F;T;  223300; 5121;215
F;03604018;INTERNATIONAL ;CAMION          ;4300           ;SBA            ;MT 7600CC TD 4X;0;2;   74600;   77700;   80900;   84300;   87800;   91500;   95300;   99300;  103400;  107700;       0;       0;       0;       0;       0;       0;       0;  146600;F;T;  183300; 5121;215
F;03604022;INTERNATIONAL ;CAMION          ;7400           ;7400           ;MT 8600CC TD 6X;0;2;       0;   80200;   86000;   92300;   99000;  106200;  114000;  122300;  131200;       0;       0;       0;       0;       0;       0;       0;       0;  207000;F;T;  258800; 7420;275
F;03604023;INTERNATIONAL ;CAMION          ;4400           ;SBA            ;MT 8600CC TD 6X;0;2;       0;   82900;   88200;   93800;   99800;  106200;  113000;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  145700;F;T;  182100; 6439;250
F;03604080;INTERNATIONAL ;CAMION          ;4300           ;SBA            ;MT 7600CC TD 4X;0;2;   71400;   74400;   77500;   80700;   84100;   87600;   91200;   95000;   99000;  103100;       0;       0;       0;       0;       0;       0;       0;  139500;F;T;  174400; 5121;195
F;03604082;INTERNATIONAL ;CAMION          ;S-SERIES       ;S1954          ;MT 7600CC TD 4X;0;2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  148100;F;T;  185100;    0;  1
F;03604083;INTERNATIONAL ;CAMION          ;7600           ;SBA            ;MT TD 6X4 [FULL;0;2;   67800;   72700;   78000;   83700;   89800;   96300;  103300;  110800;       0;       0;       0;       0;       0;       0;       0;       0;       0;  220000;F;T;  275000; 7880;305
F;03604084;INTERNATIONAL ;CAMION          ;7600           ;SBA            ;MT TD 6X4 [STD];0;2;   63700;   68400;   73400;   78800;   84500;   90700;   97300;  104400;       0;       0;       0;       0;       0;       0;       0;       0;       0;  216000;F;T;  270000; 7880;305
F;03604085;INTERNATIONAL ;CAMION          ;S-SERIES       ;S1954          ;MT 7600CC TD 6X;0;2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  194100;F;T;  242600;    0;  1
F;03604086;INTERNATIONAL ;CAMION          ;7300           ;236 in         ;MT 7600CC TD 4X;0;2;       0;       0;       0;       0;       0;       0;       0;   83800;   89100;   94800;  100900;  107300;  114200;       0;       0;       0;       0;  140500;F;T;  175600;    0;203
F;03604087;INTERNATIONAL ;CAMION          ;7600           ;WORKSTAR [305HP;MT TD 6X4      ;0;2;       0;       0;       0;       0;       0;       0;       0;  114800;  123200;  132200;  141800;  152100;  163200;  175100;       0;       0;       0;  228000;F;T;  285000;    0;  1
F;03604088;INTERNATIONAL ;CAMION          ;7600           ;WORKSTAR [305HP;MT TD 6X4      ;0;2;       0;       0;       0;       0;       0;       0;       0;  125900;  135100;  145000;  155600;  166900;  179100;  192200;       0;       0;       0;  259000;F;T;  323800;    0;  1
F;03604089;INTERNATIONAL ;CAMION          ;7400           ;WORKSTAR       ;MT 8600CC TD 6X;0;2;       0;       0;       0;       0;       0;       0;       0;       0;  133200;  142900;  153300;       0;       0;       0;       0;       0;       0;  207900;F;T;  259900; 7420;275
F;03604090;INTERNATIONAL ;CAMION          ;4300           ;DURASTAR [6000m;MT 7600CC TD 4X;0;2;       0;       0;       0;       0;       0;       0;       0;       0;       0;  112100;  116800;  121700;  126800;  132100;       0;       0;       0;  192600;F;T;  240800; 5121;215
F;03604091;INTERNATIONAL ;CAMION          ;4300           ;DURASTAR [6000m;MT 7600CC TD 4X;0;2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  115100;  119900;  124900;  130100;       0;       0;       0;  185600;F;T;  232000; 5121;215
F;03604092;INTERNATIONAL ;CAMION          ;4300           ;DURASTAR [6450m;MT 7600CC TD 4X;0;2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  123200;  128300;  133600;  139200;       0;       0;       0;  266300;F;T;  332900;    0;195
F;03604093;INTERNATIONAL ;CAMION          ;4300           ;DURASTAR [6000m;MT 7600CC TD 4X;0;2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  110300;  114900;  119700;  124700;       0;       0;       0;  167100;F;T;  208900; 5121;195
